Customer ID,Age,Gender,Item Purchased,CategoryPurchase,Amount (INR),Location,Size,Color,SeasonReview,Rating,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
CUST0040,43,Other,Sandals,Clothing,9950,Hyderabad,M,Green,Winter,Very Good,4.3,No,Store Pickup,No,42,PayPal,Weekly
CUST0041,50,Other,Shirt,Clothing,14169,Pune,9,White,Fall,Average,3.9,No,Standard,No,11,UPI,Annually
CUST0042,59,Female,Coat,Accessories,7866,Pune,11,Green,Summer,Good,4.5,Yes,Express,No,15,Cash on Delivery,Annually
CUST0043,57,Other,Jacket,Outerwear,720,Ahmedabad,7,Blue,Fall,Good,3.1,No,Express,No,38,UPI,Monthly
CUST0044,53,Male,Dress,Footwear,1652,Hyderabad,8,Purple,Spring,Poor,3.9,No,Next Day Air,Yes,5,PayPal,Fortnightly
CUST0045,43,Other,Sandals,Outerwear,11128,Lucknow,7,Purple,Summer,Poor,5,No,Express,No,17,PayPal,Monthly
CUST0046,32,Male,Shorts,Footwear,5419,Delhi,10,Blue,Spring,Good,4.2,No,Store Pickup,No,6,Debit Card,Monthly
CUST0047,32,Female,Jeans,Outerwear,481,Jaipur,L,Green,Winter,Excellent,3.7,Yes,Next Day Air,Yes,0,Bank Transfer,Monthly
CUST0048,48,Female,T-shirt,Outerwear,3270,Mumbai,XXL,Purple,Winter,Excellent,3.2,Yes,Store Pickup,Yes,9,Debit Card,Annually
CUST0049,37,Male,Sandals,Clothing,9393,Pune,11,Grey,Spring,Very Good,3.1,No,Express,No,19,Bank Transfer,Annually
CUST0050,21,Other,Shorts,Clothing,12746,Hyderabad,XL,Green,Winter,Good,2.7,Yes,Standard,Yes,26,Cash on Delivery,Annually
CUST0051,48,Female,Blouse,Footwear,4970,Chennai,9,White,Spring,Average,4.4,Yes,Next Day Air,Yes,34,Debit Card,Fortnightly
CUST0052,35,Male,Sweater,Clothing,2968,Chennai,11,Grey,Summer,Poor,2.4,No,Next Day Air,No,32,Bank Transfer,Quarterly
CUST0053,46,Male,Coat,Clothing,14822,Pune,7,Grey,Summer,Excellent,2.3,Yes,Express,Yes,48,Debit Card,Quarterly
CUST0054,51,Other,T-shirt,Outerwear,3223,Lucknow,8,Purple,Winter,Poor,3,No,Express,Yes,10,PayPal,Quarterly
CUST0055,62,Female,Sneakers,Accessories,13579,Jaipur,S,Purple,Winter,Average,2.8,Yes,Next Day Air,Yes,42,Bank Transfer,Quarterly
CUST0056,44,Male,Sandals,Outerwear,10451,Ahmedabad,9,Black,Spring,Average,3.6,No,Next Day Air,No,7,Credit Card,Annually
CUST0057,69,Male,Shorts,Footwear,5341,Jaipur,S,Brown,Fall,Excellent,2.7,Yes,Next Day Air,Yes,41,Debit Card,Quarterly
CUST0058,63,Female,Dress,Outerwear,7057,Ahmedabad,9,Red,Fall,Very Good,2.4,Yes,Store Pickup,Yes,4,PayPal,Quarterly
CUST0059,39,Other,Sneakers,Clothing,4884,Chennai,11,Grey,Fall,Good,3.3,No,Express,No,35,Bank Transfer,Quarterly
CUST0060,47,Female,Sandals,Footwear,9618,Pune,XL,Pink,Winter,Average,4.2,No,Next Day Air,Yes,31,Credit Card,Fortnightly
CUST0061,50,Other,Shirt,Clothing,14572,Ahmedabad,M,Brown,Fall,Excellent,4.2,No,Standard,Yes,30,PayPal,Monthly
CUST0062,57,Other,Jacket,Clothing,14205,Kolkata,10,Pink,Summer,Poor,4.6,Yes,Store Pickup,Yes,15,UPI,Monthly
CUST0063,32,Other,Sweater,Accessories,1862,Delhi,9,Blue,Summer,Excellent,2.1,Yes,Express,No,23,Cash on Delivery,Fortnightly
CUST0064,33,Other,Jacket,Footwear,3035,Bangalore,M,Grey,Fall,Very Good,4,No,Store Pickup,Yes,14,Cash on Delivery,Monthly
CUST0065,47,Female,Skirt,Clothing,14977,Ahmedabad,XXL,Brown,Spring,Excellent,3.3,No,Store Pickup,No,40,Cash on Delivery,Monthly
CUST0066,47,Female,Sandals,Accessories,14231,Ahmedabad,M,Red,Fall,Very Good,3.1,No,Express,Yes,42,Cash on Delivery,Monthly
CUST0067,18,Other,Skirt,Clothing,10185,Ahmedabad,XXL,Red,Summer,Good,3.9,No,Standard,Yes,40,UPI,Weekly
CUST0068,37,Female,Blouse,Outerwear,12248,Bangalore,M,Green,Summer,Poor,2.5,Yes,Store Pickup,No,33,Bank Transfer,Monthly
CUST0069,28,Female,T-shirt,Outerwear,12481,Kolkata,M,Purple,Winter,Good,4.3,Yes,Next Day Air,No,5,Cash on Delivery,Weekly
CUST0070,34,Other,Sweater,Accessories,6288,Chennai,11,Pink,Summer,Excellent,4,No,Free Shipping,No,39,Debit Card,Weekly
CUST0071,58,Female,Shorts,Outerwear,10887,Pune,M,Blue,Winter,Excellent,2.9,No,Free Shipping,Yes,15,Bank Transfer,Fortnightly
CUST0072,42,Female,Shirt,Accessories,9872,Bangalore,8,White,Fall,Very Good,3.2,No,Free Shipping,No,13,Cash on Delivery,Quarterly
CUST0073,33,Female,Sweater,Outerwear,9170,Kolkata,S,Pink,Summer,Good,4.9,No,Free Shipping,Yes,41,UPI,Annually
CUST0074,19,Male,Hoodie,Outerwear,4240,Bangalore,11,Red,Winter,Very Good,2.6,Yes,Standard,No,49,Debit Card,Annually
CUST0075,18,Female,Jeans,Footwear,9100,Chennai,L,White,Winter,Good,2,Yes,Store Pickup,No,1,Debit Card,Monthly
CUST0076,21,Male,Shorts,Accessories,8869,Delhi,M,Purple,Fall,Average,3.5,Yes,Next Day Air,Yes,39,Credit Card,Annually
CUST0077,37,Female,Skirt,Clothing,1246,Ahmedabad,8,Pink,Winter,Poor,4.1,No,Free Shipping,Yes,20,Bank Transfer,Fortnightly
CUST0078,22,Male,Sneakers,Outerwear,6490,Lucknow,10,Green,Fall,Very Good,3.8,Yes,Free Shipping,Yes,27,Cash on Delivery,Fortnightly
CUST0079,44,Female,T-shirt,Accessories,7065,Delhi,7,Pink,Summer,Average,3.1,Yes,Next Day Air,Yes,5,Credit Card,Weekly
CUST0080,45,Male,Shorts,Outerwear,13550,Bangalore,10,Black,Summer,Excellent,3.2,No,Free Shipping,No,38,PayPal,Monthly
CUST0081,24,Other,Dress,Footwear,2785,Ahmedabad,XL,White,Summer,Very Good,3.1,No,Store Pickup,Yes,27,Bank Transfer,Annually
CUST0082,57,Other,Skirt,Clothing,10227,Chennai,S,Blue,Summer,Average,4.8,No,Free Shipping,Yes,9,Bank Transfer,Quarterly
CUST0083,22,Male,Shorts,Clothing,1753,Jaipur,XL,Pink,Fall,Poor,3,No,Express,No,49,Bank Transfer,Annually
CUST0084,23,Male,Jeans,Footwear,12610,Lucknow,S,White,Summer,Poor,4,No,Store Pickup,No,26,PayPal,Fortnightly
CUST0085,66,Other,Sweater,Outerwear,7293,Delhi,XXL,Grey,Fall,Very Good,4,Yes,Standard,No,38,Credit Card,Weekly
CUST0086,31,Female,Sandals,Footwear,12770,Chennai,XXL,Yellow,Winter,Excellent,3.5,No,Standard,Yes,24,Bank Transfer,Fortnightly
CUST0087,50,Other,Skirt,Outerwear,1430,Pune,S,Pink,Winter,Poor,4.8,No,Store Pickup,No,36,Cash on Delivery,Quarterly
CUST0088,36,Male,Jacket,Clothing,5571,Bangalore,11,Purple,Summer,Excellent,3.3,Yes,Standard,No,37,Cash on Delivery,Annually
CUST0089,23,Female,Sneakers,Outerwear,3880,Kolkata,L,White,Winter,Very Good,3.5,No,Express,Yes,15,Credit Card,Fortnightly
CUST0090,34,Male,Jeans,Footwear,12705,Delhi,L,Purple,Fall,Very Good,4.3,No,Store Pickup,No,40,PayPal,Fortnightly
CUST0091,46,Male,T-shirt,Accessories,10594,Chennai,XXL,Grey,Winter,Average,3.5,No,Next Day Air,No,2,Credit Card,Monthly
CUST0092,36,Male,Skirt,Clothing,10326,Lucknow,10,Pink,Fall,Very Good,3.7,Yes,Next Day Air,Yes,20,Bank Transfer,Quarterly
CUST0093,50,Male,Blouse,Accessories,1945,Kolkata,M,Brown,Spring,Excellent,2.7,No,Next Day Air,Yes,23,PayPal,Monthly
CUST0094,42,Female,Hoodie,Outerwear,11373,Lucknow,S,Yellow,Winter,Average,2.3,No,Express,No,46,UPI,Annually
CUST0095,27,Female,Sweater,Footwear,5981,Chennai,8,Blue,Winter,Average,3.7,No,Standard,Yes,41,UPI,Quarterly
CUST0096,50,Female,Blouse,Outerwear,5310,Bangalore,XL,Yellow,Fall,Good,2.7,Yes,Standard,Yes,18,Credit Card,Annually
CUST0097,67,Other,Shorts,Clothing,11095,Kolkata,11,Blue,Fall,Good,2.5,Yes,Next Day Air,Yes,26,PayPal,Fortnightly
CUST0098,46,Other,Sneakers,Accessories,4083,Jaipur,XL,Green,Fall,Good,3.1,No,Next Day Air,No,49,Cash on Delivery,Annually
CUST0099,51,Female,Jeans,Footwear,13377,Lucknow,L,Green,Winter,Poor,4.6,Yes,Store Pickup,Yes,18,Credit Card,Fortnightly
CUST0100,35,Female,Dress,Footwear,13865,Pune,M,Red,Fall,Average,4.8,No,Free Shipping,No,32,PayPal,Fortnightly
CUST0101,42,Male,Shirt,Footwear,711,Kolkata,M,Yellow,Spring,Good,2.1,No,Standard,No,28,Bank Transfer,Weekly
CUST0102,23,Male,Sneakers,Footwear,13930,Bangalore,10,Grey,Fall,Excellent,4.3,Yes,Express,Yes,3,Debit Card,Quarterly
CUST0103,58,Other,T-shirt,Clothing,2066,Ahmedabad,11,Brown,Winter,Very Good,3.7,Yes,Express,No,0,Bank Transfer,Monthly
CUST0104,33,Other,Jacket,Footwear,11135,Delhi,10,Yellow,Winter,Very Good,3.6,Yes,Next Day Air,No,2,UPI,Quarterly
CUST0105,41,Female,Shorts,Clothing,6100,Delhi,7,Red,Winter,Very Good,4.2,No,Standard,Yes,22,Bank Transfer,Monthly
CUST0106,70,Other,Jeans,Accessories,11643,Ahmedabad,L,Blue,Winter,Poor,2.1,Yes,Free Shipping,Yes,2,PayPal,Monthly
CUST0107,50,Female,Dress,Accessories,4400,Mumbai,XL,Green,Summer,Excellent,4.6,No,Express,Yes,23,Cash on Delivery,Quarterly
CUST0108,65,Female,Jacket,Outerwear,3310,Ahmedabad,9,Yellow,Summer,Excellent,4.2,Yes,Next Day Air,Yes,34,PayPal,Monthly
CUST0109,24,Male,Shirt,Outerwear,5271,Ahmedabad,11,Pink,Spring,Poor,3.1,Yes,Express,No,17,UPI,Weekly
CUST0110,22,Other,Skirt,Accessories,6202,Jaipur,L,Black,Spring,Very Good,4,No,Free Shipping,Yes,4,Debit Card,Monthly
CUST0111,41,Female,Coat,Clothing,10163,Bangalore,9,Yellow,Summer,Poor,4.3,Yes,Store Pickup,No,25,PayPal,Monthly
CUST0112,33,Male,Blouse,Footwear,8426,Jaipur,8,Brown,Winter,Average,4.3,No,Standard,No,44,Cash on Delivery,Fortnightly
CUST0113,25,Male,Sweater,Accessories,3078,Ahmedabad,M,Yellow,Summer,Excellent,3.6,No,Express,Yes,45,UPI,Fortnightly
CUST0114,68,Female,Dress,Footwear,2238,Hyderabad,L,Red,Fall,Excellent,3.1,No,Next Day Air,Yes,39,Credit Card,Weekly
CUST0115,37,Female,Shorts,Accessories,8862,Pune,8,Grey,Winter,Good,4.9,Yes,Next Day Air,No,43,Bank Transfer,Monthly
CUST0116,26,Other,Skirt,Footwear,12829,Bangalore,8,Brown,Winter,Excellent,3.6,No,Standard,Yes,20,UPI,Fortnightly
CUST0117,40,Other,Sneakers,Clothing,4355,Hyderabad,10,Green,Spring,Average,3.8,Yes,Store Pickup,Yes,37,Bank Transfer,Fortnightly
CUST0118,28,Other,Coat,Outerwear,14054,Lucknow,S,Black,Winter,Excellent,4.8,No,Standard,No,39,UPI,Weekly
CUST0119,49,Other,Dress,Outerwear,10767,Chennai,9,Red,Fall,Average,3.4,Yes,Standard,No,26,Cash on Delivery,Quarterly
CUST0120,31,Female,Coat,Footwear,5371,Kolkata,7,Pink,Spring,Average,3.5,Yes,Express,Yes,29,Credit Card,Monthly
CUST0121,46,Male,Jeans,Clothing,1079,Chennai,8,Grey,Fall,Good,4.9,Yes,Express,No,12,Debit Card,Quarterly
CUST0122,50,Female,T-shirt,Outerwear,8398,Mumbai,M,Pink,Fall,Good,2.6,No,Free Shipping,Yes,18,Cash on Delivery,Annually
CUST0123,59,Other,T-shirt,Outerwear,9043,Mumbai,M,Pink,Spring,Average,4.2,No,Express,Yes,25,Credit Card,Annually
CUST0124,53,Male,Shirt,Outerwear,1454,Pune,10,Purple,Summer,Very Good,4,Yes,Standard,Yes,25,PayPal,Monthly
CUST0125,53,Female,Hoodie,Footwear,3511,Lucknow,10,Pink,Winter,Excellent,2.1,No,Next Day Air,No,9,Bank Transfer,Annually
CUST0126,26,Female,Coat,Outerwear,2912,Pune,11,Green,Summer,Very Good,4.5,No,Store Pickup,No,30,Credit Card,Monthly
CUST0127,39,Other,Sweater,Accessories,9813,Chennai,S,Grey,Fall,Average,4.9,Yes,Free Shipping,No,10,Bank Transfer,Annually
CUST0128,67,Female,Jeans,Footwear,767,Lucknow,M,Red,Winter,Poor,2.9,Yes,Next Day Air,Yes,26,Bank Transfer,Annually
CUST0129,48,Other,Shorts,Clothing,11813,Bangalore,10,Red,Summer,Poor,3.6,No,Standard,No,34,PayPal,Annually
CUST0130,40,Other,Hoodie,Outerwear,10245,Ahmedabad,XL,Red,Summer,Very Good,2.9,No,Express,Yes,44,UPI,Quarterly
CUST0131,38,Female,Shirt,Outerwear,4965,Delhi,11,Brown,Fall,Poor,4.5,Yes,Express,Yes,18,UPI,Weekly
CUST0132,40,Female,Skirt,Outerwear,12494,Ahmedabad,XL,Red,Summer,Very Good,4.1,Yes,Free Shipping,Yes,15,Credit Card,Annually
CUST0133,32,Other,Sandals,Clothing,1891,Pune,7,Purple,Winter,Good,2,Yes,Next Day Air,No,30,UPI,Fortnightly
CUST0134,66,Female,Shirt,Outerwear,10832,Mumbai,M,Grey,Spring,Very Good,4.2,Yes,Standard,No,11,Credit Card,Quarterly
CUST0135,68,Female,Jeans,Outerwear,14614,Mumbai,S,Green,Winter,Average,2.9,No,Standard,No,17,Debit Card,Weekly
CUST0136,39,Male,Shorts,Accessories,10871,Chennai,L,Black,Summer,Average,3.7,Yes,Standard,No,27,Bank Transfer,Monthly
CUST0137,23,Female,Skirt,Clothing,3277,Bangalore,9,Yellow,Spring,Excellent,2.8,Yes,Next Day Air,No,21,PayPal,Annually
CUST0138,64,Other,Blouse,Outerwear,10959,Kolkata,XL,Black,Winter,Poor,2.9,No,Store Pickup,No,44,Credit Card,Monthly
CUST0139,41,Other,Sandals,Footwear,2438,Ahmedabad,L,Purple,Summer,Poor,4.1,No,Store Pickup,Yes,48,Debit Card,Annually
CUST0140,68,Male,Dress,Accessories,8903,Kolkata,M,Grey,Winter,Excellent,4.5,Yes,Store Pickup,Yes,10,PayPal,Annually
CUST0141,46,Male,Skirt,Footwear,11995,Lucknow,9,White,Fall,Excellent,3.4,No,Next Day Air,Yes,35,Cash on Delivery,Monthly
CUST0142,64,Male,Jacket,Outerwear,13626,Mumbai,XL,Grey,Winter,Excellent,3.3,Yes,Store Pickup,Yes,4,Cash on Delivery,Weekly
CUST0143,36,Female,Jeans,Footwear,12797,Pune,7,Pink,Fall,Poor,3.1,Yes,Express,Yes,11,Bank Transfer,Quarterly
CUST0144,51,Male,Shorts,Footwear,13927,Mumbai,S,Green,Fall,Very Good,3.3,No,Standard,Yes,29,PayPal,Fortnightly
CUST0145,35,Male,Shorts,Clothing,777,Pune,11,Black,Spring,Good,2.2,Yes,Next Day Air,Yes,15,UPI,Weekly
CUST0146,43,Female,Sandals,Footwear,12609,Mumbai,L,Brown,Summer,Good,4.4,No,Store Pickup,No,15,PayPal,Fortnightly
CUST0147,60,Other,Sandals,Accessories,5173,Chennai,S,Brown,Spring,Poor,3.7,Yes,Express,No,50,Bank Transfer,Monthly
CUST0148,62,Female,Jacket,Footwear,5163,Pune,L,Brown,Fall,Good,4.5,No,Standard,No,3,Bank Transfer,Quarterly
CUST0149,44,Other,Dress,Footwear,6613,Hyderabad,XXL,Red,Summer,Excellent,4.8,No,Free Shipping,Yes,3,PayPal,Quarterly
CUST0150,61,Other,Coat,Clothing,14563,Delhi,XL,Grey,Spring,Poor,2.6,No,Express,Yes,13,Debit Card,Weekly
CUST0151,65,Female,Sandals,Footwear,6748,Hyderabad,10,Yellow,Summer,Poor,3.4,No,Express,No,23,Bank Transfer,Quarterly
CUST0152,47,Male,Hoodie,Accessories,12728,Kolkata,XL,Yellow,Summer,Poor,2.1,Yes,Standard,Yes,16,Bank Transfer,Annually
CUST0153,55,Other,Jacket,Outerwear,2747,Hyderabad,7,Red,Fall,Very Good,4.5,No,Store Pickup,No,16,Cash on Delivery,Quarterly
CUST0154,47,Male,Shorts,Outerwear,3023,Bangalore,10,Purple,Spring,Very Good,5,Yes,Store Pickup,Yes,4,UPI,Weekly
CUST0155,66,Male,Jacket,Footwear,14054,Hyderabad,M,Blue,Winter,Good,3.5,No,Free Shipping,No,42,Cash on Delivery,Weekly
CUST0156,18,Other,Dress,Accessories,444,Mumbai,10,Green,Summer,Excellent,3.5,No,Standard,Yes,6,Bank Transfer,Fortnightly
CUST0157,33,Male,Coat,Outerwear,13606,Kolkata,XXL,Pink,Winter,Average,4.9,No,Store Pickup,Yes,44,Debit Card,Monthly
CUST0158,61,Male,Skirt,Clothing,1781,Pune,8,Pink,Fall,Excellent,3.9,Yes,Free Shipping,No,27,UPI,Monthly
CUST0159,54,Male,Dress,Clothing,4014,Hyderabad,11,Purple,Summer,Excellent,4.8,No,Store Pickup,Yes,11,PayPal,Weekly
CUST0160,31,Other,Jeans,Accessories,1510,Chennai,L,Grey,Spring,Very Good,4.5,No,Store Pickup,No,24,UPI,Fortnightly
CUST0161,68,Other,Shorts,Clothing,8454,Kolkata,S,White,Fall,Good,4.5,No,Store Pickup,No,49,PayPal,Weekly
CUST0162,58,Female,Hoodie,Accessories,8288,Hyderabad,7,Brown,Fall,Poor,2.6,No,Free Shipping,No,15,UPI,Weekly
CUST0163,23,Female,Jeans,Accessories,11910,Bangalore,8,Yellow,Summer,Excellent,2.3,No,Next Day Air,No,48,PayPal,Weekly
CUST0164,26,Male,Jeans,Accessories,7603,Jaipur,10,Brown,Fall,Excellent,2.1,No,Store Pickup,Yes,38,Bank Transfer,Monthly
CUST0165,42,Male,Sneakers,Accessories,6603,Delhi,10,Red,Spring,Poor,2.5,No,Express,No,31,Debit Card,Weekly
CUST0166,28,Female,Sneakers,Accessories,5161,Ahmedabad,M,Yellow,Summer,Good,4.2,No,Store Pickup,Yes,29,Credit Card,Fortnightly
CUST0167,37,Male,Jacket,Outerwear,14038,Lucknow,8,Yellow,Fall,Average,3.3,Yes,Express,No,38,UPI,Fortnightly
CUST0168,48,Female,Jeans,Accessories,5478,Chennai,9,Grey,Spring,Average,3.1,No,Express,Yes,36,Debit Card,Annually
CUST0169,52,Male,Skirt,Clothing,12164,Ahmedabad,XL,Purple,Summer,Excellent,4.5,No,Next Day Air,Yes,40,PayPal,Fortnightly
CUST0170,34,Other,Jeans,Accessories,13178,Pune,M,Purple,Fall,Very Good,3.2,No,Store Pickup,Yes,50,PayPal,Annually
CUST0171,56,Other,Sweater,Clothing,12848,Hyderabad,7,Blue,Winter,Very Good,5,No,Express,No,6,Credit Card,Weekly
CUST0172,34,Male,Dress,Footwear,7553,Kolkata,8,Purple,Spring,Average,5,No,Free Shipping,No,26,Credit Card,Weekly
CUST0173,64,Male,Shirt,Outerwear,5870,Ahmedabad,XL,Brown,Fall,Average,3.4,No,Next Day Air,No,4,PayPal,Weekly
CUST0174,69,Other,Sweater,Clothing,14162,Kolkata,M,Blue,Spring,Very Good,2.5,Yes,Express,No,29,Debit Card,Quarterly
CUST0175,58,Male,Jeans,Accessories,6731,Mumbai,11,Red,Fall,Very Good,3.3,Yes,Standard,Yes,17,UPI,Weekly
CUST0176,54,Male,Hoodie,Footwear,6243,Kolkata,XL,Purple,Winter,Average,4,No,Store Pickup,No,38,Cash on Delivery,Annually
CUST0177,43,Other,Sweater,Outerwear,6016,Ahmedabad,11,Blue,Summer,Very Good,3.8,Yes,Express,Yes,15,PayPal,Weekly
CUST0178,29,Female,Shorts,Footwear,8619,Pune,8,Grey,Spring,Very Good,3.2,Yes,Next Day Air,Yes,35,Debit Card,Quarterly
CUST0179,36,Male,Jeans,Outerwear,14045,Ahmedabad,11,Black,Summer,Excellent,3.5,Yes,Next Day Air,No,26,UPI,Quarterly
CUST0180,44,Other,T-shirt,Accessories,2990,Delhi,11,Black,Spring,Average,2.1,Yes,Store Pickup,No,10,Cash on Delivery,Annually
CUST0181,65,Female,Dress,Clothing,9633,Delhi,XXL,Brown,Summer,Very Good,4.5,Yes,Next Day Air,Yes,27,Credit Card,Fortnightly
CUST0182,37,Male,T-shirt,Outerwear,5961,Delhi,9,White,Spring,Good,4.4,No,Store Pickup,No,10,Bank Transfer,Fortnightly
CUST0183,68,Male,Sandals,Clothing,9590,Kolkata,10,Green,Spring,Average,4.9,No,Express,No,32,UPI,Weekly
CUST0184,26,Female,Blouse,Outerwear,14455,Bangalore,L,Red,Spring,Average,4.5,No,Next Day Air,Yes,36,UPI,Monthly
CUST0185,58,Female,Jacket,Accessories,1487,Delhi,8,Brown,Summer,Average,3.4,No,Express,Yes,49,UPI,Weekly
CUST0186,64,Female,Skirt,Outerwear,14178,Delhi,10,Pink,Spring,Poor,4.5,No,Express,No,18,PayPal,Annually
CUST0187,54,Male,Coat,Accessories,13165,Kolkata,S,Black,Winter,Poor,2,Yes,Next Day Air,No,0,Cash on Delivery,Fortnightly
CUST0188,62,Male,Skirt,Outerwear,2854,Chennai,M,Yellow,Summer,Excellent,3.1,Yes,Free Shipping,No,40,PayPal,Fortnightly
